Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
304,E,312,,1,,,e2,0,,
304,N,312,,1,,,n0,0,,
305,E,322,,2,,,e6,0,,
305,N,322,,2,,,n4,0,,
315,E,282,,3,,,e10,0,,
315,N,282,,3,,,n8,0,,
316,E,339,,4,,,e2,1,,
316,N,339,,4,,,n0,1,,
317,E,330,,5,,,e6,1,,
317,N,330,,5,,,n4,1,,
318,E,277,,6,,,e10,1,,
318,N,277,,6,,,n8,1,,
348,E,326,,7,,,e2,2,,
348,N,326,,7,,,n0,2,,
,E,,,8,,,e6,2,,
,N,,,8,,,n4,2,,
,E,,,9,,,e10,2,,
,N,,,9,,,n8,2,,
,E,,,10,,,e2,3,,
,N,,,10,,,n0,3,,
,E,,,11,,,e6,3,,
,N,,,11,,,n4,3,,
,E,,,12,,,e10,3,,
,N,,,12,,,n8,3,,
#END,,,,,,,,,,
Date:,44386,,,,,,,,,
NCM,,,,,,,,,,
FPS,,,,,,,,,,
PCH,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,
