Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
299,E,321,,1,209,C41,e2,0,RF_maintenance,
299,N,321,,1,209,C41,n0,0,RF_maintenance,
300,E,343,,2,291,C41,e6,0,RF_maintenance,
300,N,343,,2,291,C41,n4,0,RF_maintenance,
301,E,320,,3,262,C41,e10,0,RF_maintenance,
301,N,320,,3,262,C41,n8,0,RF_maintenance,
311,E,334,,4,163,C31,e2,1,RF_maintenance,
311,N,334,,4,163,C31,n0,1,RF_maintenance,
312,E,324,,5,251,C31,e6,1,RF_maintenance,
312,N,324,,5,251,C31,n4,1,RF_maintenance,
313,E,311,,6,111,C31,e10,1,RF_maintenance,
313,N,311,,6,111,C31,n8,1,RF_maintenance,
314,E,308,,7,280,C58,e2,2,RF_maintenance,
314,N,308,,7,280,C58,n0,2,RF_maintenance,
342,E,344,,8,132,C58,e6,2,RF_maintenance,
342,N,344,,8,132,C58,n4,2,RF_maintenance,
343,E,350,,9,263,C58,e10,2,RF_maintenance,
343,N,350,,9,263,C58,n8,2,RF_maintenance,
302,E,284/288,,10,203,C104,e2,3,RF_maintenance,
302,N,284/288,,10,203,C104,n0,3,RF_maintenance,
346,E,,,11,198,C104,e6,3,RF_maintenance,
346,N,,,11,198,C104,n4,3,RF_maintenance,
347,E,342,,12,121,C104,e10,3,RF_maintenance,
347,N,342,,12,121,C104,n8,3,RF_maintenance,
#END,,,,,,,,,,
Date:,,,,,,,,,,
NCM,12,,,,,,,,,
FPS,28,,,,,,,,,
PCH,27,,,,,,,,,
