Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
258,E,295,,1,,,e2,0,,
258,N,295,,1,,,n0,0,,
259,E,301,,2,,,e6,0,,
259,N,301,,2,,,n4,0,,
260,E,327,,3,,,e10,0,,
260,N,327,,3,,,n8,0,,
274,E,294,,4,,,e2,1,,
274,N,294,,4,,,n0,1,,
275,E,296,,5,,,e6,1,,
275,N,296,,5,,,n4,1,,
276,E,293,,6,,,e10,1,,
276,N,293,,6,,,n8,1,,
288,E,303,,7,,,e2,2,,
288,N,303,,7,,,n0,2,,
289,E,300,,8,,,e6,2,,
289,N,300,,8,,,n4,2,,
290,E,298,,9,,,e10,2,,
290,N,298,,9,,,n8,2,,
291,E,286,,10,,,e2,3,,
291,N,286,,10,,,n0,3,,
302,E,284,,11,,,e6,3,,
302,N,284,,11,,,n4,3,,
303,E,278,,12,,,e10,3,,
303,N,278,,12,,,n8,3,,
#END,,,,,,,,,,
Date:,,,,,,,,,,
NCM,,,,,,,,,,
FPS,,,,,,,,,,
PCH,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,
