Ant,Pol,Feed,FEM,NBP/PAMloc,PAM,SNAP,Port,SNAPloc,APriori,Comments
230,E,347,,1,,,e2,0,RF_maintenance,
230,N,347,,1,,,n0,0,RF_maintenance,
247,E,348,,2,,,e6,0,RF_maintenance,
247,N,348,,2,,,n4,0,RF_maintenance,
248,E,90,,3,,,e10,0,RF_maintenance,
248,N,90,,3,,,n8,0,RF_maintenance,
249,E,91,,4,,,e2,1,RF_maintenance,
249,N,91,,4,,,n0,1,RF_maintenance,
263,E,310,,5,,,e6,1,RF_maintenance,
263,N,310,,5,,,n4,1,RF_maintenance,
264,E,233,,6,,,e10,1,RF_maintenance,
264,N,233,,6,,,n8,1,RF_maintenance,
265,E,288,,7,,,e2,2,RF_maintenance,
265,N,288,,7,,,n0,2,RF_maintenance,
279,E,309,,8,,,e6,2,RF_maintenance,
279,N,309,,8,,,n4,2,RF_maintenance,
280,E,302,,9,,,e10,2,RF_maintenance,
280,N,302,,9,,,n8,2,RF_maintenance,
335,E,335,,10,,,e2,3,RF_maintenance,
335,N,335,,10,,,n0,3,RF_maintenance,
339,E,307,,11,,,e6,3,RF_maintenance,
339,N,307,,11,,,n4,3,RF_maintenance,
,E,,,12,,,e10,3,RF_maintenance,
,N,,,12,,,n8,3,RF_maintenance,
#END,,,,,,,,,,
NCM,,,,,,,,,,
FPS,,,,,,,,,,
PCH,,,,,,,,,,
,These need to be completed by the site crew,,,,,,,,,
