| HH161      | A     | station     | HH161   | 2018-11-13 10:00:37 | None   |         | ground   |                                  | 540923.5E, 6601201.4N, 1051.2m |
| HH162      | A     | station     | HH162   | 2018-11-14 10:00:37 | None   |         | ground   |                                  | 540938.1E, 6601201.4N, 1051.2m |
| HH163      | A     | station     | HH163   | 2018-11-14 10:00:37 | None   |         | ground   |                                  | 540952.7E, 6601201.4N, 1051.2m |
| HH164      | A     | station     | HH164   | 2018-11-15 10:00:37 | None   |         | ground   |                                  | 540967.3E, 6601201.4N, 1051.3m |
| HH165      | A     | station     | HH165   | 2018-11-19 10:00:37 | None   |         | ground   |                                  | 540981.9E, 6601201.4N, 1051.3m |
| HH16       | A     | station     | HH16    | 2018-11-21 10:00:37 | None   |         | ground   |                                  | 540967.3E, 6601083.4N, 1052.4m |
| HH176      | A     | station     | HH176   | 2018-09-05 10:00:37 | None   |         | ground   |                                  | 540843.2E, 6601214.0N, 1051.1m |
| HH177      | A     | station     | HH177   | 2018-07-25 10:00:37 | None   |         | ground   |                                  | 540857.8E, 6601214.0N, 1051.1m |
| HH178      | A     | station     | HH178   | 2018-03-29 16:06:09 | None   |         | ground   |                                  | 540872.4E, 6601214.0N, 1051.1m |
| HH179      | A     | station     | HH179   | 2018-03-29 16:06:11 | None   |         | ground   |                                  | 540887.0E, 6601214.0N, 1051.1m |
| HH17       | A     | station     | HH17    | 2018-11-23 10:00:37 | None   |         | ground   |                                  | 540981.9E, 6601083.4N, 1052.4m |
| HH180      | A     | station     | HH180   | 2018-03-27 18:20:50 | None   |         | ground   |                                  | 540901.6E, 6601214.0N, 1051.1m |
| HH181      | A     | station     | HH181   | 2018-03-27 18:20:52 | None   |         | ground   |                                  | 540916.2E, 6601214.0N, 1051.1m |
| HH182      | A     | station     | HH182   | 2018-03-27 18:20:54 | None   |         | ground   |                                  | 540930.8E, 6601214.0N, 1051.2m |
| HH183      | A     | station     | HH183   | 2018-03-27 18:20:56 | None   |         | ground   |                                  | 540945.4E, 6601214.0N, 1051.1m |
