hpn,hpn_rev,hptype,manufacturer_number,start_gpstime,stop_gpstime
A200,H,antenna,S/N96,1206352818,
A242,H,antenna,S/N118,1206352818,
PAM75163,B,post-amp,75163,1195466418,
C7F155,A,cable-feed75,C7F155,1202032818,
C7F182,A,cable-feed75,P182,1206093618,
HH216,A,station,HH216,1206374772,
HH254,A,station,HH254,1206374812,
A201,H,antenna,S/N97,1206352818,
A243,H,antenna,S/N119,1206352818,
PAM75162,B,post-amp,75162,1195466418,
HH156,A,station,HH156,1202260377,
C7F183,A,cable-feed75,P183,1206093618,
HH217,A,station,HH217,1206374774,
HH255,A,station,HH255,1206374814,
A202,H,antenna,S/N98,1206352818,
A250,H,antenna,S/N120,1206352818,
PAM75161,B,post-amp,75161,1195466418,
A156,H,antenna,S/N76,1202032818,
PAM75153,B,post-amp,75153,1206093618,
HH218,A,station,HH218,1206374776,
HH256,A,station,HH256,1206374816,
A203,H,antenna,S/N99,1206352818,
A252,H,antenna,S/N121,1206352818,
PAM75160,B,post-amp,75160,1195466418,
FDA63,B,feed,P63,1202032818,
PAM75154,B,post-amp,75154,1206093618,
HH220,A,station,HH220,1206374778,
HH257,A,station,HH257,1206374818,
A204,H,antenna,S/N100,1206352818,
A253,H,antenna,S/N122,1206352818,
DF5A2,A,f-engine,PF5A2,1096509616,
CFB75001,A,filter_bank,CFB75001,1191398418,
DF5A3,A,f-engine,PF5A3,1096509616,
DF5A4,A,f-engine,PF5A4,1096509616,
DF5B1,A,f-engine,PF5B1,1096509616,
DF5B2,A,f-engine,PF5B2,1096509616,
DF5B3,A,f-engine,PF5B3,1096509616,
DF5B4,A,f-engine,PF5B4,1096509616,
DF5C1,A,f-engine,PF5C1,1096509616,
DF5C2,A,f-engine,PF5C2,1096509616,
DF5C3,A,f-engine,PF5C3,1096509616,
DF5C4,A,f-engine,PF5C4,1096509616,
DF5D1,A,f-engine,PF5D1,1096509616,
DF5D2,A,f-engine,PF5D2,1096509616,
DF5D3,A,f-engine,PF5D3,1096509616,
DF5D4,A,f-engine,PF5D4,1096509616,
DF5E1,A,f-engine,PF5E1,1096509616,
DF5E2,A,f-engine,PF5E2,1096509616,
DF5E3,A,f-engine,PF5E3,1096509616,
DF5E4,A,f-engine,PF5E4,1096509616,
DF5F1,A,f-engine,PF5F1,1096509616,
DF5F2,A,f-engine,PF5F2,1096509616,
DF5F3,A,f-engine,PF5F3,1096509616,
DF5F4,A,f-engine,PF5F4,1096509616,
DF5G1,A,f-engine,PF5G1,1096509616,
DF5G2,A,f-engine,PF5G2,1096509616,
DF5G3,A,f-engine,PF5G3,1096509616,
DF5G4,A,f-engine,PF5G4,1096509616,
DF5H1,A,f-engine,PF5H1,1096509616,
DF5H2,A,f-engine,PF5H2,1096509616,
DF5H3,A,f-engine,PF5H3,1096509616,
DF5H4,A,f-engine,PF5H4,1096509616,
DF6A1,A,f-engine,PF6A1,1096509616,
DF6A2,A,f-engine,PF6A2,1096509616,
DF6A3,A,f-engine,PF6A3,1096509616,
DF6A4,A,f-engine,PF6A4,1096509616,
DF6B1,A,f-engine,PF6B1,1096509616,
DF6B2,A,f-engine,PF6B2,1096509616,
DF6B3,A,f-engine,PF6B3,1096509616,
DF6B4,A,f-engine,PF6B4,1096509616,
DF6C1,A,f-engine,PF6C1,1096509616,
DF6C2,A,f-engine,PF6C2,1096509616,
DF6C3,A,f-engine,PF6C3,1096509616,
DF6C4,A,f-engine,PF6C4,1096509616,
DF6D1,A,f-engine,PF6D1,1096509616,
DF6D2,A,f-engine,PF6D2,1096509616,
DF6D3,A,f-engine,PF6D3,1096509616,
DF6D4,A,f-engine,PF6D4,1096509616,
DF6E1,A,f-engine,PF6E1,1096509616,
PAM75168,B,post-amp,75168,1191769218,
FEM75035,A,front-end,75035,1191855618,
DF6E2,A,f-engine,PF6E2,1096509616,
DF6E3,A,f-engine,PF6E3,1096509616,
DF6E4,A,f-engine,PF6E4,1096509616,
DF6F1,A,f-engine,PF6F1,1096509616,
DF6F2,A,f-engine,PF6F2,1096509616,
DF6F3,A,f-engine,PF6F3,1096509616,
CFB75002,A,filter_bank,CFB75002,1191398418,
DF6F4,A,f-engine,PF6F4,1096509616,
DF6G1,A,f-engine,PF6G1,1096509616,
DF6G2,A,f-engine,PF6G2,1096509616,
DF6G3,A,f-engine,PF6G3,1096509616,
DF6G4,A,f-engine,PF6G4,1096509616,
DF6H1,A,f-engine,PF6H1,1096509616,
DF6H2,A,f-engine,PF6H2,1096509616,
DF6H3,A,f-engine,PF6H3,1096509616,
DF6H4,A,f-engine,PF6H4,1096509616,
DF7A1,A,f-engine,PF7A1,1096509616,
DF7A2,A,f-engine,PF7A2,1096509616,
DF7A3,A,f-engine,PF7A3,1096509616,
DF7A4,A,f-engine,PF7A4,1096509616,
DF7B1,A,f-engine,PF7B1,1096509616,
DF7B2,A,f-engine,PF7B2,1096509616,
DF7B3,A,f-engine,PF7B3,1096509616,
DF7B4,A,f-engine,PF7B4,1096509616,
DF7C1,A,f-engine,PF7C1,1096509616,
DF7C2,A,f-engine,PF7C2,1096509616,
DF7C3,A,f-engine,PF7C3,1096509616,
DF7C4,A,f-engine,PF7C4,1096509616,
DF7D1,A,f-engine,PF7D1,1096509616,
DF7D2,A,f-engine,PF7D2,1096509616,
DF7D3,A,f-engine,PF7D3,1096509616,
DF7D4,A,f-engine,PF7D4,1096509616,
DF7E1,A,f-engine,PF7E1,1096509616,
DF7E2,A,f-engine,PF7E2,1096509616,
DF7E3,A,f-engine,PF7E3,1096509616,
DF7E4,A,f-engine,PF7E4,1096509616,
DF7F1,A,f-engine,PF7F1,1096509616,
DF7F2,A,f-engine,PF7F2,1096509616,
DF7F3,A,f-engine,PF7F3,1096509616,
DF7F4,A,f-engine,PF7F4,1096509616,
DF7G1,A,f-engine,PF7G1,1096509616,
DF7G2,A,f-engine,PF7G2,1096509616,
DF7G3,A,f-engine,PF7G3,1096509616,
DF7G4,A,f-engine,PF7G4,1096509616,
DF7H1,A,f-engine,PF7H1,1096509616,
DF7H2,A,f-engine,PF7H2,1096509616,
DF7H3,A,f-engine,PF7H3,1096509616,
DF7H4,A,f-engine,PF7H4,1096509616,
DF8A1,A,f-engine,PF8A1,1096509616,
DF8A2,A,f-engine,PF8A2,1096509616,
DF8A3,A,f-engine,PF8A3,1096509616,
DF8A4,A,f-engine,PF8A4,1096509616,
DF8B1,A,f-engine,PF8B1,1096509616,
DF8B2,A,f-engine,PF8B2,1096509616,
DF8B3,A,f-engine,PF8B3,1096509616,
DF8B4,A,f-engine,PF8B4,1096509616,
DF8C1,A,f-engine,PF8C1,1096509616,
DF8C2,A,f-engine,PF8C2,1096509616,
DF8C3,A,f-engine,PF8C3,1096509616,
DF8C4,A,f-engine,PF8C4,1096509616,
DF8D1,A,f-engine,PF8D1,1096509616,
DF8D2,A,f-engine,PF8D2,1096509616,
DF8D3,A,f-engine,PF8D3,1096509616,
DF8D4,A,f-engine,PF8D4,1096509616,
DF8E1,A,f-engine,PF8E1,1096509616,
DF8E2,A,f-engine,PF8E2,1096509616,
DF8E3,A,f-engine,PF8E3,1096509616,
DF8E4,A,f-engine,PF8E4,1096509616,
DF8F1,A,f-engine,PF8F1,1096509616,
DF8F2,A,f-engine,PF8F2,1096509616,
DF8F3,A,f-engine,PF8F3,1096509616,
DF8F4,A,f-engine,PF8F4,1096509616,
DF8G1,A,f-engine,PF8G1,1096509616,
DF8G2,A,f-engine,PF8G2,1096509616,
DF8G3,A,f-engine,PF8G3,1096509616,
DF8G4,A,f-engine,PF8G4,1096509616,
DF8H1,A,f-engine,PF8H1,1096509616,
DF8H2,A,f-engine,PF8H2,1096509616,
DF8H3,A,f-engine,PF8H3,1096509616,
DF8H4,A,f-engine,PF8H4,1096509616,
FDA10,A,feed,P10,1096509616,1184354915.0
FDA10,B,feed,P10,1184354915,
FDA104,A,feed,P104,1096509616,1184354561.0
FDA104,B,feed,P104,1184354561,
FDA105,A,feed,P105,1096509616,1184354894.0
FDA105,B,feed,P105,1184354894,
FDA107,B,feed,P107,1170172818,
FDA108,B,feed,P108,1172539335,
FDA11,B,feed,P11,1170172818,
FDA112,A,feed,P112,1096509616,1184354934.0
FDA112,B,feed,P112,1184354934,
FDA127,B,feed,P127,1170172818,
FDA13,B,feed,P13,1184354472,
FDA16,B,feed,P16,1170144018,
FDA18,B,feed,P18,1170172818,
FDA19,B,feed,P19,1177641109,
FDA20,A,feed,P20,1096509616,1184354874.0
FDA20,B,feed,P20,1184354874,
FDA22,A,feed,P22,1096509616,1184354902.0
FDA22,B,feed,P22,1184354902,
FDA29,B,feed,P29,1172539108,
FDA31,A,feed,P31,1096509616,1184354600.0
FDA31,B,feed,P31,1184354600,
FDA33,B,feed,P33,1170144018,
FDA35,B,feed,P35,1170172818,
FDA43,A,feed,P43,1096509616,1184354886.0
FDA43,B,feed,P43,1184354886,
FDA48,B,feed,P48,1172539271,
FDA53,A,feed,P53,1096509616,1184354593.0
FDA53,B,feed,P53,1184354593,
FDA55,B,feed,P55,1184354489,
FDA6,B,feed,P6,1170172818,
FDA64,A,feed,P64,1096509616,1184354584.0
FDA64,B,feed,P64,1184354584,
FDA65,A,feed,P65,1096509616,1184354607.0
FDA65,B,feed,P65,1184354607,
FDA72,A,feed,P72,1096509616,1184354924.0
FDA72,B,feed,P72,1184354924,
FDA75,B,feed,P75,1173298415,
FDA8,B,feed,P8,1173298495,
FDA80,A,feed,P80,1096509616,1184354547.0
FDA80,B,feed,P80,1184354547,
FDA81,A,feed,P81,1096509616,1184354908.0
FDA81,B,feed,P81,1184354908,
FDA88,A,feed,P88,1096509616,1184354613.0
FDA88,B,feed,P88,1184354613,
FDA89,A,feed,P89,1096509616,1184354880.0
FDA89,B,feed,P89,1184354880,
FDA9,A,feed,P9,1096509616,1184354863.0
FDA9,B,feed,P9,1184354863,
FDA91,B,feed,P91,1173298456,
FDA92,B,feed,P92,1172694262,
FDA96,A,feed,P96,1096509616,1184354570.0
FDA96,B,feed,P96,1184354570,
FDA97,A,feed,P97,1096509616,1184355008.0
FDA97,B,feed,P97,1184355008,
FDP10,A,feed,P10,1096509616,1096509616.0
FDP104,A,feed,P104,1096509616,1096509616.0
FDP105,A,feed,P105,1096509616,1096509616.0
FDP107,A,feed,P107,1096509616,1170172818.0
FDP108,A,feed,P108,1096509616,1172539335.0
FDP11,A,feed,P11,1096509616,1170172818.0
FDP112,A,feed,P112,1096509616,1096509616.0
FDP127,A,feed,P127,1096509616,1170172818.0
FDP13,A,feed,P13,1096509616,1184354472.0
FDP16,A,feed,P16,1096509616,1170144018.0
FDP18,A,feed,P18,1096509616,1170172818.0
FDP19,A,feed,P19,1096509616,1146474017.0
FDP20,A,feed,P20,1096509616,1096509616.0
FDP22,A,feed,P22,1096509616,1096509616.0
FDP29,A,feed,P29,1096509616,1172539108.0
FDP31,A,feed,P31,1096509616,1096509616.0
FDP33,A,feed,P33,1096509616,1170144018.0
FDP35,A,feed,P35,1096509616,1170172818.0
FDP43,A,feed,P43,1096509616,1096509616.0
HH121,A,station,HH121,1191240338,
FDP55,A,feed,P55,1096509616,1184354489.0
FDP6,A,feed,P6,1096509616,1170172818.0
FDP64,A,feed,P64,1096509616,1096509616.0
FDP65,A,feed,P65,1096509616,1096509616.0
FDP72,A,feed,P72,1096509616,1096509616.0
FDP75,A,feed,P75,1096509616,1173298415.0
FDP8,A,feed,P8,1096509616,1173298495.0
FDP80,A,feed,P80,1096509616,1096509616.0
FDP81,A,feed,P81,1096509616,1096509616.0
FDP88,A,feed,P88,1096509616,1096509616.0
FDP89,A,feed,P89,1096509616,1096509616.0
FDP9,A,feed,P9,1096509616,1096509616.0
FDP91,A,feed,P91,1096509616,1173298456.0
FDP92,A,feed,P92,1096509616,1172694262.0
FDP96,A,feed,P96,1096509616,1096509616.0
FDP97,A,feed,P97,1096509616,1096509616.0
FEA0,A,front-end,P0,1096509616,
A121,H,antenna,S/N48,1191232818,
FEA1,A,front-end,P1,1096509616,
FEA10,A,front-end,P10,1096509616,
FEA100,A,front-end,P100,1096509616,
FEA101,A,front-end,P101,1096509616,
FEA102,A,front-end,P102,1096509616,
FEA103,A,front-end,P103,1096509616,
FEA104,A,front-end,P104,1096509616,
FEA105,A,front-end,P105,1096509616,
FEA106,A,front-end,P106,1096509616,
FEA107,A,front-end,P107,1096509616,
FEA108,A,front-end,P108,1096509616,
FEA109,A,front-end,P109,1096509616,
FEA11,A,front-end,P11,1096509616,
FEA110,A,front-end,P110,1096509616,
FEA111,A,front-end,P111,1096509616,
FEA112,A,front-end,P112,1096509616,
FEA113,A,front-end,P113,1096509616,
FEA114,A,front-end,P114,1096509616,
FEA115,A,front-end,P115,1096509616,
FEA116,A,front-end,P116,1096509616,
FEA117,A,front-end,P117,1096509616,
FEA118,A,front-end,P118,1096509616,
FEA119,A,front-end,P119,1096509616,
FEA12,A,front-end,P12,1096509616,
FEA120,A,front-end,P120,1096509616,
FEA121,A,front-end,P121,1096509616,
FEA122,A,front-end,P122,1096509616,
FEA123,A,front-end,P123,1096509616,
FEA124,A,front-end,P124,1096509616,
FEA125,A,front-end,P125,1096509616,
FEA126,A,front-end,P126,1096509616,
FEA127,A,front-end,P127,1096509616,
FEA13,A,front-end,P13,1096509616,
FEA14,A,front-end,P14,1096509616,
FEA15,A,front-end,P15,1096509616,
FEA16,A,front-end,P16,1096509616,
FEA17,A,front-end,P17,1096509616,
FEA18,A,front-end,P18,1096509616,
FEA19,A,front-end,P19,1096509616,
FEA2,A,front-end,P2,1096509616,
FEA20,A,front-end,P20,1096509616,
FEA21,A,front-end,P21,1096509616,
FEA22,A,front-end,P22,1096509616,
FEA23,A,front-end,P23,1096509616,
FEA24,A,front-end,P24,1096509616,
FEA25,A,front-end,P25,1096509616,
FEA26,A,front-end,P26,1096509616,
FEA27,A,front-end,P27,1096509616,
FEA28,A,front-end,P28,1096509616,
FEA29,A,front-end,P29,1096509616,
FEA3,A,front-end,P3,1096509616,
FEA30,A,front-end,P30,1096509616,
FEA31,A,front-end,P31,1096509616,
FEA32,A,front-end,P32,1096509616,
FEA33,A,front-end,P33,1096509616,
FEA34,A,front-end,P34,1096509616,
FEA35,A,front-end,P35,1096509616,
FEA36,A,front-end,P36,1096509616,
FEA37,A,front-end,P37,1096509616,
FEA38,A,front-end,P38,1096509616,
FEA39,A,front-end,P39,1096509616,
FEA4,A,front-end,P4,1096509616,
FEA40,A,front-end,P40,1096509616,
FEA41,A,front-end,P41,1096509616,
FEA42,A,front-end,P42,1096509616,
FEA43,A,front-end,P43,1096509616,
FEA44,A,front-end,P44,1096509616,
FEA45,A,front-end,P45,1096509616,
FEA46,A,front-end,P46,1096509616,
FEA47,A,front-end,P47,1096509616,
FEA48,A,front-end,P48,1096509616,
FEA49,A,front-end,P49,1096509616,
FEA5,A,front-end,P5,1096509616,
FEA50,A,front-end,P50,1096509616,
FEA51,A,front-end,P51,1096509616,
FEA52,A,front-end,P52,1096509616,
FEA53,A,front-end,P53,1096509616,
FEA54,A,front-end,P54,1096509616,
FEA55,A,front-end,P55,1096509616,
FEA56,A,front-end,P56,1096509616,
FEA57,A,front-end,P57,1096509616,
FEA58,A,front-end,P58,1096509616,
FEA59,A,front-end,P59,1096509616,
FEA6,A,front-end,P6,1096509616,
FEA60,A,front-end,P60,1096509616,
FEA61,A,front-end,P61,1096509616,
FEA62,A,front-end,P62,1096509616,
FEA63,A,front-end,P63,1096509616,
FEA64,A,front-end,P64,1096509616,
FEA65,A,front-end,P65,1096509616,
FEA66,A,front-end,P66,1096509616,
FEA67,A,front-end,P67,1096509616,
FEA68,A,front-end,P68,1096509616,
FEA69,A,front-end,P69,1096509616,
FDA26,B,feed,P26,1191232818,
FEA7,A,front-end,P7,1096509616,
FEA70,A,front-end,P70,1096509616,
FEA71,A,front-end,P71,1096509616,
FEA72,A,front-end,P72,1096509616,
FEA73,A,front-end,P73,1096509616,
FEA74,A,front-end,P74,1096509616,
FEA75,A,front-end,P75,1096509616,
FEA76,A,front-end,P76,1096509616,
FEA77,A,front-end,P77,1096509616,
FEA78,A,front-end,P78,1096509616,
FEA79,A,front-end,P79,1096509616,
FEA8,A,front-end,P8,1096509616,
FEA80,A,front-end,P80,1096509616,
FEA81,A,front-end,P81,1096509616,
FEA82,A,front-end,P82,1096509616,
