Date                     HH24               HH25               HH26               HH27               HH28               HH36               HH37               HH38               HH39        
2017-05-06 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-08 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-10 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-12 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-14 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-16 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-18 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-20 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-22 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-24 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-26 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-28 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-30 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-06-01 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-06-03 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-05 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-07 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-09 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-11 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-13 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-15 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-17 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-19 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-21 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-23 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-25 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-27 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-06-29 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-01 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-03 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-05 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-07 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-09 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-11 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-13 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-15 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-17 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-19 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-21 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-23 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
2017-07-25 00:00          ---                ---                ---                ---                ---                ---                ---                ---                ---        
