Date                     HH24               HH25               HH26               HH27               HH28               HH36               HH37               HH38               HH39        
2017-03-13 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-15 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-17 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-19 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-21 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-23 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-25 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-27 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-29 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-03-31 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-02 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-04 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-06 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-08 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-10 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-12 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-14 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-16 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-18 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-20 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-22 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-24 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-26 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-28 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-04-30 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-02 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
2017-05-04 00:00    e:DF1E2 n:DF1E1    e:DF3H4 n:DF3H3    e:DF1A2 n:DF1A1    e:DF2F2 n:DF2F1    e:DF7F2 n:DF7F1    e:DF2F4 n:DF2F3    e:DF2D2 n:DF2D1    e:DF2G4 n:DF2G3    e:DF1F2 n:DF1F1  
