Date                      HH0                HH1                HH2                HH3               HH11               HH12               HH13               HH14               HH15               HH23        
2017-03-13 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-15 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-17 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-19 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-21 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-23 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-25 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-27 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-29 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
2017-03-31 00:00    e:DF1H2 n:DF1H1    e:DF1C2 n:DF1C1    e:DF3F2 n:DF3F1    e:DF3A4 n:DF3A3    e:DF2D4 n:DF2D3    e:DF1D4 n:DF1D3    e:DF2E4 n:DF2E3    e:DF3G2 n:DF3G1    e:DF8C4 n:DF8C3    e:DF1B2 n:DF1B1  
