Date                     HH40               HH41               HH42               HH51               HH52               HH53               HH54               HH55               HH56               HH67               HH68               HH69               HH70               HH71               HH84               HH85               HH86               HH87        
2017-03-27 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-03-29 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-03-31 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-02 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-04 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-06 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-08 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-10 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-12 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-14 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-16 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-18 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-20 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-22 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-24 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-26 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-28 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-04-30 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---                ---          e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-02 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-04 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-06 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-08 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-10 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-12 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-14 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-16 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-18 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-20 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-22 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
2017-05-24 00:00    e:DF2A4 n:DF2A3    e:DF6E2 n:DF6E1    e:DF3H2 n:DF3H1    e:DF3F4 n:DF3F3    e:DF2C2 n:DF2C1    e:DF1D2 n:DF1D1    e:DF2A2 n:DF2A1    e:DF1A4 n:DF1A3    e:DF6C2 n:DF6C1          ---                ---          e:DF3E2 n:DF3E1    e:DF3D2 n:DF3D1    e:DF2B2 n:DF2B1    e:DF2C4 n:DF2C3    e:DF3C4 n:DF3C3    e:DF8A2 n:DF8A1    e:DF1E4 n:DF1E3  
